Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,year
Seattle,25,28.4,52.9,34,374,3060.0,34.0,43,31,74,40,3,3,,,1.26,0.91,2.18,1.18,2.09,2016
Sporting KC,27,27.7,54.9,34,374,3060.0,34.0,42,29,71,37,5,5,,,1.24,0.85,2.09,1.09,1.94,2016
Toronto FC,26,26.7,50.6,34,374,3060.0,34.0,51,46,97,47,4,6,0.0,2.0,1.5,1.35,2.85,1.38,2.74,2016
Vancouver,29,27.0,46.6,34,374,3060.0,34.0,42,22,64,35,7,8,,,1.24,0.65,1.88,1.03,1.68,2016
Atlanta Utd,26,26.9,57.6,34,374,3060.0,34.0,69,53,122,65,4,4,,,2.03,1.56,3.59,1.91,3.47,2017
Chicago Fire,25,27.5,52.4,34,374,3060.0,34.0,59,45,104,53,6,7,,,1.74,1.32,3.06,1.56,2.88,2017
Colorado Rapids,27,27.0,44.4,34,374,3060.0,34.0,31,25,56,30,1,2,,,0.91,0.74,1.65,0.88,1.62,2017
Columbus Crew,23,26.1,52.0,34,374,3060.0,34.0,53,42,95,49,4,6,,,1.56,1.24,2.79,1.44,2.68,2017
D.C. United,31,27.2,45.3,34,374,3060.0,34.0,27,18,45,25,2,4,,,0.79,0.53,1.32,0.74,1.26,2017
Dynamo,26,28.2,43.9,34,374,3060.0,34.0,55,40,95,49,6,8,,,1.62,1.18,2.79,1.44,2.62,2017
FC Dallas,27,26.5,49.9,34,374,3060.0,34.0,48,36,84,45,3,4,,,1.41,1.06,2.47,1.32,2.38,2017
LA Galaxy,29,26.9,49.1,34,374,3060.0,34.0,42,30,72,37,5,5,,,1.24,0.88,2.12,1.09,1.97,2017
Minnesota Utd,29,27.7,50.6,34,374,3060.0,34.0,45,32,77,42,3,4,,,1.32,0.94,2.26,1.24,2.18,2017
Montreal Impact,30,28.6,48.2,34,374,3060.0,34.0,52,36,88,46,6,7,,,1.53,1.06,2.59,1.35,2.41,2017
New England,24,27.1,45.5,34,374,3060.0,34.0,53,38,91,49,4,4,,,1.56,1.12,2.68,1.44,2.56,2017
NY Red Bulls,26,26.9,56.0,34,374,3060.0,34.0,50,38,88,43,7,8,,,1.47,1.12,2.59,1.26,2.38,2017
NYCFC,26,26.9,55.2,34,374,3060.0,34.0,56,43,99,52,4,6,,,1.65,1.26,2.91,1.53,2.79,2017
Orlando City,28,27.1,48.0,34,374,3060.0,34.0,39,34,73,39,0,1,,,1.15,1.0,2.15,1.15,2.15,2017
Philadelphia,26,27.6,45.6,34,374,3060.0,34.0,49,32,81,44,5,7,,,1.44,0.94,2.38,1.29,2.24,2017
Portland Timbers,25,28.1,50.9,34,374,3060.0,34.0,59,43,102,50,9,11,,,1.74,1.26,3.0,1.47,2.74,2017
Real Salt Lake,28,27.4,52.1,34,374,3060.0,34.0,49,36,85,45,4,4,,,1.44,1.06,2.5,1.32,2.38,2017
San Jose,23,27.5,50.1,34,374,3060.0,34.0,39,33,72,38,1,1,,,1.15,0.97,2.12,1.12,2.09,2017
Seattle,25,27.8,53.3,34,374,3060.0,34.0,51,36,87,46,5,6,,,1.5,1.06,2.56,1.35,2.41,2017
Sporting KC,27,27.4,57.7,34,374,3060.0,34.0,39,25,64,37,2,3,,,1.15,0.74,1.88,1.09,1.82,2017
Toronto FC,26,27.3,51.8,34,374,3060.0,34.0,71,47,118,64,7,11,,,2.09,1.38,3.47,1.88,3.26,2017
Vancouver,31,27.3,41.7,34,374,3060.0,34.0,49,37,86,46,3,6,,,1.44,1.09,2.53,1.35,2.44,2017
